"Dataset Name","Observation Date","Series Key","Series Display Name","Observation Value","Unit","Observation Status","Observation Status Comment","Sequence No.","Series name"
"Advances Classified By Securities/ Borrowers","30-Apr-2022","TS_GP_BAM_ADVBYBOR_M.ABS0010600","................... Buildings","696.515586","Billion PKR","Normal","","115","Outstanding Advances Of All Banks Against Buildings - To Private Sector (Business)"
"Advances Classified By Securities/ Borrowers","30-Apr-2022","TS_GP_BAM_ADVBYBOR_M.ABS0010700","......................... Residential","239.033576","Billion PKR","Normal","","116","Outstanding Advances Of All Banks Against Residential Buildings - To Private Sector (Business)"
"Advances Classified By Securities/ Borrowers","30-Apr-2022","TS_GP_BAM_ADVBYBOR_M.ABS0010800","......................... Non-Residential","457.48201","Billion PKR","Normal","","117","Outstanding Advances Of All Banks Against Non-Residential Buildings - To Private Sector (Business)"
"Advances Classified By Securities/ Borrowers","30-Apr-2022","TS_GP_BAM_ADVBYBOR_M.ABS0010900","............................... Commercial","228.718672","Billion PKR","Normal","","118","Outstanding Advances Of All Banks Against Commercial Non-Residential Buildings - To Private Sector (Business)"
"Advances Classified By Securities/ Borrowers","30-Apr-2022","TS_GP_BAM_ADVBYBOR_M.ABS0011000","............................... Industrial","174.629484","Billion PKR","Normal","","119","Outstanding Advances Of All Banks Against Industrial Non-Residential Buildings - To Private Sector (Business)"
"Advances Classified By Securities/ Borrowers","30-Apr-2022","TS_GP_BAM_ADVBYBOR_M.ABS0011100","............................... Other","54.133854","Billion PKR","Normal","","120","Outstanding Advances Of All Banks Against Other than commercial and industrial Non-Residential Buildings - To Private Sector (Business)"
"Advances Classified By Securities/ Borrowers","30-Apr-2022","TS_GP_BAM_ADVBYBOR_M.ABS0011200","............. AGAINST FIXED DEPOSITS AND INSURANCE POLICIES","430.710975","Billion PKR","Normal","","121","Outstanding Advances Of All Banks Against Fixed Deposits And Insurance Policies - To Private Sector (Business)"
"Advances Classified By Securities/ Borrowers","30-Apr-2022","TS_GP_BAM_ADVBYBOR_M.ABS0011300","................... Bank Deposits","427.050822","Billion PKR","Normal","","122","Outstanding Advances Of All Banks Against Bank Deposits - To Private Sector (Business)"
"Advances Classified By Securities/ Borrowers","30-Apr-2022","TS_GP_BAM_ADVBYBOR_M.ABS0011400","................... Insurance Policies","3.660153","Billion PKR","Normal","","123","Outstanding Advances Of All Banks Against Insurance Policies - To Private Sector (Business)"
"Advances Classified By Securities/ Borrowers","30-Apr-2022","TS_GP_BAM_ADVBYBOR_M.ABS0011500","............. OTHERS","1152.626576","Billion PKR","Normal","","124","Outstanding Advances Of All Banks Against Other Securities - To Private Sector (Business)"
"Advances Classified By Securities/ Borrowers","30-Apr-2022","TS_GP_BAM_ADVBYBOR_M.ABS0011600","................... Other Secured Advances","890.348669","Billion PKR","Normal","","125","Outstanding Other Secured Advances Of All Banks - To Private Sector (Business)"
"Advances Classified By Securities/ Borrowers","30-Apr-2022","TS_GP_BAM_ADVBYBOR_M.ABS0011700","................... Advances Secured By Guarantee(s)","262.277907","Billion PKR","Normal","","126","Outstanding Advances Of All Banks Secured By Guarantee(s) - To Private Sector (Business)"
"Advances Classified By Securities/ Borrowers","30-Apr-2022","TS_GP_BAM_ADVBYBOR_M.ABS0011800","......................... Institutional Guarantee(s)","202.815445","Billion PKR","Normal","","127","Outstanding Advances Of All Banks Secured By Institutional Guarantee(s) - To Private Sector (Business)"
"Advances Classified By Securities/ Borrowers","30-Apr-2022","TS_GP_BAM_ADVBYBOR_M.ABS0011900","......................... Individual Guarantee(s)","59.462462","Billion PKR","Normal","","128","Outstanding Advances Of All Banks Secured By Individual Guarantee(s) - To Private Sector (Business)"
"Advances Classified By Securities/ Borrowers","30-Apr-2022","TS_GP_BAM_ADVBYBOR_M.ABS0012000","............. Unsecured Advances","3.001094","Billion PKR","Normal","","129","Outstanding Unsecured Advances Of All Banks - To Private Sector (Business)"
"Advances Classified By Securities/ Borrowers","30-Apr-2022","TS_GP_BAM_ADVBYBOR_M.ABS0012100","....... TRUST FUNDS AND NON PROFIT ORGANIZATIONS","15.665754","Billion PKR","Normal","","130","Outstanding Advances Of All Banks To Trust Funds And Non Profit Organizations"
"Advances Classified By Securities/ Borrowers","30-Apr-2022","TS_GP_BAM_ADVBYBOR_M.ABS0012200","....... PERSONAL","1078.742552","Billion PKR","Normal","","131","Outstanding Advances Of All Banks To Individual Persons"
"Advances Classified By Securities/ Borrowers","30-Apr-2022","TS_GP_BAM_ADVBYBOR_M.ABS0012300","....... OTHER","2.826197","Billion PKR","Normal","","132","Outstanding Advances Of All Banks To Other Borrowers"
